replay id,replay title,map,date,result,team name,opposing team name,score,goals,assists,saves,shots,shots conceded,goals conceded,shooting percentage,bpm,avg boost amount,amount collected,amount collected big pads,amount collected small pads,count collected big pads,count collected small pads,amount stolen,amount stolen big pads,amount stolen small pads,count stolen big pads,count stolen small pads,0 boost time,100 boost time,amount used while supersonic,amount overfill total,amount overfill stolen,total distance,time slow speed,time boost speed,time supersonic speed,time on ground,time low in air,time high in air,time powerslide,count powerslide,time in front of ball,time behind ball,time in front of ball,time defensive half,time offensive half,time defensive third,time neutral third,time offensive third,demos inflicted,demos taken
12aecdb1-b089-42b7-b299-a48635097457,2021-01-04.22.24 Player Private Win,Rivals Arena,2021-01-04 22:24:28,win,BIGBOOSTERBRAND,RIHANNAS TOILET,1151,5,2,1,10,2,0,50,787,156.3,4515,2909,1606,40,142,1006,397,609,7,52,88.12,122.55,316,1068,304,1312169,637.64,351.22,61.96,718.31,320.31,12.2,15.78,141,180.08,870.76,180.08,583.81,467.02,377.67,388.75,284.41,0,1
12aecdb1-b089-42b7-b299-a48635097457,2021-01-04.22.24 Player Private Win,Rivals Arena,2021-01-04 22:24:28,loss,RIHANNAS TOILET,BIGBOOSTERBRAND,586,0,0,4,2,10,5,0,732,131.22,4298,3108,1190,38,102,562,446,116,6,10,136.92,119.95,501,698,151,1166582,703.13,289.69,59.52,720.25,311.41,20.67,22.13,138,289.37,762.96,289.37,914.89,137.45,761.07,229.65,61.62,1,0
f07ba8d9-4346-438c-a45b-1fd4224e9d70,2021-01-06.20.03 Player Private Loss,DFH Stadium (Day),2021-01-06 20:03:06,win,BRONZEBACK,CROSSBAR KINGS,946,3,1,3,3,4,1,100,1022,158.69,5713,4033,1680,45,138,916,527,389,6,35,102.96,117.51,908,490,73,1351889,595.75,348.03,92.27,663.68,347.87,24.49,22.56,147,224.07,811.98,224.07,720.76,315.3,562.3,320.55,153.21,2,2
f07ba8d9-4346-438c-a45b-1fd4224e9d70,2021-01-06.20.03 Player Private Loss,DFH Stadium (Day),2021-01-06 20:03:06,loss,CROSSBAR KINGS,BRONZEBACK,508,1,0,0,4,3,3,25,941,165.22,5459,3631,1828,46,168,1121,568,553,9,52,96.81,91.95,924,926,361,1420966,511.82,411.05,111.97,670.24,349.65,14.94,20.57,186,252.95,781.87,252.95,713.92,320.91,549.98,294.16,190.71,2,2
6258462b-fa80-44e5-97e8-90889d4bf4e2,2021-01-06.21.03 Player Private Loss,Beckwith Park (Stormy),2021-01-06 21:03:10,loss,BOOSTIALITY,MOTION W LOTION,849,2,0,4,5,8,3,40,617,135.32,3979,2512,1467,31,127,649,366,283,5,25,84.46,100.63,396,598,134,1157589,762.21,261.04,52.8,781.61,281.7,12.74,26.14,188,199.32,876.73,199.32,819.99,256.06,662.36,273.56,140.15,0,3
6258462b-fa80-44e5-97e8-90889d4bf4e2,2021-01-06.21.03 Player Private Loss,Beckwith Park (Stormy),2021-01-06 21:03:10,win,MOTION W LOTION,BOOSTIALITY,1093,3,2,3,8,5,2,37.5,885,160.98,5310,3786,1524,49,120,705,412,293,5,25,108.16,89.95,657,991,89,1395145,604.49,420.18,61.81,722.79,343.73,19.96,19.66,151,251.75,834.74,251.75,773.1,313.39,606.31,303.37,176.8,3,0
05346dda-c239-42ff-84d2-9f3d23665174,2021-01-14.21.16 Robzo Boost Private Win,Salty Shores (Night),2021-01-14 21:16:50,loss,TOXIC BROMANCE,BIGBOOSTERBRAND,1088,4,2,3,7,11,5,57.14,937,159.44,6458,4930,1528,62,127,1417,1000,417,12,36,131.89,206.61,655,1207,197,1515903,760.54,397.55,95.17,786.07,428.9,38.29,23.15,143,339.06,914.2,339.06,827.31,425.95,623.38,365.54,264.34,2,1
05346dda-c239-42ff-84d2-9f3d23665174,2021-01-14.21.16 Robzo Boost Private Win,Salty Shores (Night),2021-01-14 21:16:50,win,BIGBOOSTERBRAND,TOXIC BROMANCE,1305,5,3,3,11,7,4,45.45,882,133.22,6038,4385,1653,50,141,901,515,386,7,34,157.31,85.95,664,624,188,1468065,775.02,402.59,70.95,841.19,389.94,17.45,18.61,138,279.85,968.72,279.85,895.75,352.84,713.79,349.37,185.41,1,2
b36c2d42-7d7c-48c7-a642-4fd34566996b,2020-12-10.21.27 The Pontiac Bandit Private Win,Champions Field,2020-12-10 21:27:19,win,RIHANNAS TOILET,MOTION W LOTION,984,3,1,4,7,4,0,42.86,876,153.36,4878,3425,1453,42,127,886,529,357,6,30,112.94,102.87,545,613,68,1209841,641.66,294.54,65.32,704.16,282.59,14.76,22.29,135,210.97,790.56,210.97,764.41,237.11,630.96,245.4,125.15,1,1
b36c2d42-7d7c-48c7-a642-4fd34566996b,2020-12-10.21.27 The Pontiac Bandit Private Win,Champions Field,2020-12-10 21:27:19,loss,MOTION W LOTION,RIHANNAS TOILET,514,0,0,3,4,7,3,0,1047,147.59,5765,4284,1481,49,122,1276,800,476,8,42,108.49,89.27,1302,644,0,1382138,491.56,412.83,93.26,664.79,320.58,12.28,21.39,142,298.82,698.83,298.82,614.04,383.62,449.53,326.11,222.02,1,1
6f22bb39-884e-4b9c-bad9-85110f8a25e6,2020-12-16.21.44 RisingStocks Private Loss,,2020-12-16 21:44:52,win,TOXIC BROMANCE,BRONZEBACK,921,2,1,5,9,6,1,22.22,912,150.91,5099,3738,1361,44,120,946,472,474,5,42,152.51,177.77,901,691,43,1315784,571.62,362.84,78.81,693.16,304.7,15.39,15.41,83,246.26,767.01,246.26,655.86,357.41,496.79,290.45,226.03,1,1
6f22bb39-884e-4b9c-bad9-85110f8a25e6,2020-12-16.21.44 RisingStocks Private Loss,,2020-12-16 21:44:52,loss,BRONZEBACK,TOXIC BROMANCE,963,1,0,7,6,9,2,16.67,951,154.17,5299,3871,1428,48,126,730,337,393,4,35,69.96,100.95,1020,946,60,1387676,522.36,390.64,103.74,646.22,346.61,23.91,26.42,141,309.4,707.34,309.4,714.84,301.9,540.11,321.28,155.35,1,1
c62688ee-1048-4b8e-adc7-f0194a947d2e,2021-02-02.21.37 kevinpeta Private Loss,DFH Stadium,2021-02-02 21:37:21,loss,GOALDEN SHOWERS,SMUT DADDIES,794,1,0,2,11,4,2,9.09,919,135.64,6247,3956,2291,49,199,2145,1399,746,17,66,151.95,94.7,893,710,284,1603415,738.72,429.3,90.06,839.4,394.44,24.21,30.88,135,336.38,921.7,336.38,766.81,491.26,556.71,386.5,314.86,3,1
c62688ee-1048-4b8e-adc7-f0194a947d2e,2021-02-02.21.37 kevinpeta Private Loss,DFH Stadium,2021-02-02 21:37:21,win,SMUT DADDIES,GOALDEN SHOWERS,1203,2,0,6,4,11,1,50,710,165.43,5024,3180,1844,46,165,1209,716,493,11,43,70.98,195.58,732,1518,393,1540603,778.83,358.5,113.97,853.26,387.46,10.59,32.32,175,344.46,906.83,344.46,890.38,360.93,719.13,328.41,203.76,1,3
560e7175-c327-4045-8bcd-911f8ebfd948,2021-02-03.19.51 kevinpeta Private Loss,Mannfield,2021-02-03 19:51:06,win,RIHANNAS TOILET,GOALSNEXTDOOR,884,3,2,2,6,5,2,50,991,152.3,5720,4033,1687,52,148,940,610,330,8,31,122.68,131.05,867,1114,198,1373539,556.43,391.6,93.2,716.97,313.75,10.53,19.22,144,247.24,794,247.24,761.23,280.01,600.34,266.76,174.15,1,4
560e7175-c327-4045-8bcd-911f8ebfd948,2021-02-03.19.51 kevinpeta Private Loss,Mannfield,2021-02-03 19:51:06,loss,GOALSNEXTDOOR,RIHANNAS TOILET,690,2,1,1,5,6,3,40,846,161.82,4853,3674,1179,45,108,903,547,356,6,31,73.04,141.16,635,850,68,1361448,607.32,364.75,73.17,692.32,339.71,13.22,13.38,90,291.64,753.61,291.64,683.67,361.58,499.29,327.72,218.25,4,1
86235410-5034-4db2-8160-35fd10c039e3,2021-01-24.19.29 Player Private Win,Forbidden Temple,2021-01-24 19:29:34,win,BRONZEBACK,BOOM SQUAD,1074,5,3,1,6,3,1,83.33,781,165.79,5030,3590,1440,45,129,582,252,330,4,29,52.45,131.91,373,979,145,1271367,688.46,336.41,62.75,712.99,352.95,21.68,23.52,123,227.69,859.92,227.69,792.71,294.92,635.82,295.49,156.32,1,2
86235410-5034-4db2-8160-35fd10c039e3,2021-01-24.19.29 Player Private Win,Forbidden Temple,2021-01-24 19:29:34,loss,BOOM SQUAD,BRONZEBACK,420,1,0,1,3,6,5,33.33,788,160.06,4937,3648,1289,45,116,569,353,216,4,20,74.52,195.93,545,894,55,1380483,619.31,400.36,70.08,756.77,316.08,16.9,18.9,101,275.28,814.47,275.28,764.52,325.22,576.37,330.77,182.61,2,1
3786ce7a-3b64-4fdc-b0c0-d6c764ffe00b,2021-01-28.21.02 RisingStocks Private Loss,Beckwith Park,2021-01-28 21:02:27,win,WHAT A PLAY,MOTION W LOTION,800,2,1,2,4,5,1,50,900,147.33,4582,3406,1176,41,97,789,497,292,5,18,132.91,117.81,679,730,2,1211882,610.79,325.48,66.77,674.91,307.38,20.74,17.56,93,287.7,715.33,287.7,762.58,240.46,629.81,233.22,140.01,1,1
3786ce7a-3b64-4fdc-b0c0-d6c764ffe00b,2021-01-28.21.02 RisingStocks Private Loss,Beckwith Park,2021-01-28 21:02:27,loss,MOTION W LOTION,WHAT A PLAY,660,1,1,2,5,4,2,20,853,156.33,4557,3071,1486,41,128,814,363,451,4,38,99.83,101.3,735,1042,37,1346123,563.9,387.41,54.73,656.06,329.3,20.7,22.16,149,243.5,762.55,243.5,618.34,387.71,455.5,314.75,235.81,1,1
