team name,player name,games,wins,win percentage,score,score per game,goals,goals per game,assists,assists per game,saves,saves per game,shots,shots per game,shots conceded,shots conceded per game,goals conceded,goals conceded per game,goals conceded while last defender,goals conceded while last defender per game,shooting percentage,bpm per game,avg boost amount per game,amount collected,amount collected per game,amount collected big pads,amount collected big pads per game,amount collected small pads,amount collected small pads per game,count collected big pads,count collected big pads per game,count collected small pads,count collected small pads per game,amount stolen,amount stolen per game,amount stolen big pads,amount stolen big pads per game,amount stolen small pads,amount stolen small pads per game,count stolen big pads,count stolen big pads per game,count stolen small pads,count stolen small pads per game,0 boost time,0 boost time per game,100 boost time,100 boost time per game,amount used while supersonic,amount used while supersonic per game,amount overfill total,amount overfill total per game,amount overfill stolen,amount overfill stolen per game,avg speed per game,total distance,total distance per game,time slow speed,time slow speed per game,time boost speed,time boost speed per game,time supersonic speed,time supersonic speed per game,time on ground,time on ground per game,time low in air,time low in air per game,time high in air,time high in air per game,time powerslide,time powerslide per game,avg powerslide time per game,count powerslide,count powerslide per game,time most back,time most back per game,time most forward,time most forward per game,time in front of ball,time in front of ball per game,time behind ball,time behind ball per game,time defensive half,time defensive half per game,time offensive half,time offensive half per game,time defensive third,time defensive third per game,time neutral third,time neutral third per game,time offensive third,time offensive third per game,demos inflicted,demos inflicted per game,demos taken,demos taken per game
TOXIC BROMANCE,PettyGuac69,56,27,48.21,10948,195.5,21,0.38,28,0.5,29,0.52,75,1.34,339,6.05,109,1.95,36,0.64,28,225.62,51.27,78828,1407.64,50292,898.07,28536,509.57,651,11.62,2466,44.04,16172,288.79,8831,157.7,7341,131.09,122,2.18,646,11.54,1384.03,24.71,2760.14,49.29,16834,300.61,15117,269.95,3277,58.52,1277.86,24665664,440458.28,13041.42,232.88,6480.61,115.73,966.77,17.26,14948.9,266.94,5246.19,93.68,293.65,5.24,254.53,4.55,0.17,1489,26.59,5629.2,100.52,7147.2,127.63,5850.31,104.47,14638.47,261.4,13617.22,243.16,6871.57,122.71,9996.47,178.51,6507.13,116.2,3985.17,71.16,35,0.62,36,0.64
BOOSTIALITY,PimpedCaravan,54,26,48.15,4951,91.69,3,0.06,5,0.09,28,0.52,17,0.31,333,6.17,99,1.83,27,0.5,17.65,105.82,46.73,36329,672.76,14372,266.15,21957,406.61,191,3.54,1887,34.94,3928,72.74,858,15.89,3070,56.85,13,0.24,268,4.96,1726.34,31.97,3244.72,60.09,6456,119.56,5267,97.54,477,8.83,966.87,17789860,329441.84,16874.4,312.49,2529.94,46.85,346.24,6.41,15916.38,294.75,3705.55,68.62,128.68,2.38,447.05,8.28,0.47,946,17.52,9370.5,173.53,4556.8,84.39,3777.28,69.95,15973.42,295.8,16311.98,302.07,3438.64,63.68,13835.75,256.22,4234.47,78.42,1680.44,31.12,7,0.13,25,0.46
BOOM SQUAD,RLQS SEASON 2 CHAMP,52,25,48.08,19059,366.52,47,0.9,20,0.38,60,1.15,137,2.63,337,6.48,124,2.38,49,0.94,34.31,363.92,51.24,114055,2193.37,86909,1671.33,27146,522.04,1062,20.42,2314,44.5,18241,350.79,11271,216.75,6970,134.04,149,2.87,570,10.96,2374.06,45.65,2155.96,41.46,15094,290.27,19002,365.42,3365,64.71,1454.24,26020416,500392.62,9049.72,174.03,8411.19,161.75,1558.08,29.96,11557.78,222.26,7037.41,135.33,423.85,8.15,380.72,7.32,0.16,2383,45.83,5699,109.6,6770,130.19,4757.87,91.5,14261.12,274.25,13165.9,253.19,5853.1,112.56,10248.14,197.08,5306.56,102.05,3464.26,66.62,26,0.5,31,0.6
AERIAL AIRHEADS,RisingStocks,57,24,42.11,28850,506.14,62,1.09,11,0.19,129,2.26,172,3.02,390,6.84,124,2.18,55,0.96,36.05,370.66,48.77,125395,2199.91,94475,1657.46,30920,542.46,1152,20.21,2663,46.72,24181,424.23,15982,280.39,8199,143.84,201,3.53,734,12.88,1848.85,32.44,1802.52,31.62,10218,179.26,19800,347.37,3887,68.19,1391.93,27152974,476367.97,10968.63,192.43,7776.17,136.42,1837.08,32.23,12628.7,221.56,7216.81,126.61,736.37,12.92,386.73,6.78,0.15,2641,46.33,6395.4,112.2,7483,131.28,4840.4,84.92,15741.51,276.17,14449.71,253.5,6132.2,107.58,11525.13,202.2,5524.82,96.93,3531.91,61.96,28,0.49,33,0.58
GOALSNEXTDOOR,Rob Herbo,47,21,44.68,19171,407.89,46,0.98,19,0.4,64,1.36,160,3.4,258,5.49,94,2,25,0.53,28.75,374.51,58.21,98678,2099.53,77427,1647.38,21251,452.15,946,20.13,1903,40.49,23498,499.96,16621,353.64,6877,146.32,204,4.34,617,13.13,1149.8,24.46,1658.99,35.3,9288,197.62,17349,369.13,3718,79.11,1448.33,22048320,469113.19,8183.95,174.13,6471.39,137.69,1415.75,30.12,9806.02,208.64,5654.83,120.32,610.22,12.98,229.16,4.88,0.11,2153,45.81,4150.9,88.32,6102.1,129.83,4738.36,100.82,11332.74,241.12,10203.23,217.09,5867.92,124.85,7535.47,160.33,5001.67,106.42,3533.96,75.19,9,0.19,29,0.62
GOALSNEXTDOOR,Rob Herbo,12,4,33.33,4540,378.33,13,1.08,9,0.75,13,1.08,29,2.42,73,6.08,34,2.83,12,1,44.83,333.09,57.12,23305,1942.08,18400,1533.33,4905,408.75,221,18.42,439,36.58,5023,418.58,3382,281.83,1641,136.75,41,3.42,140,11.67,276.97,23.08,436.41,36.37,1591,132.58,3832,319.33,748,62.33,1420.08,5665828,472152.34,2271.49,189.29,1680.36,140.03,311.44,25.95,2671.62,222.64,1454.27,121.19,137.43,11.45,58.77,4.9,0.12,514,42.83,1168.2,97.35,1554.7,129.56,1275.74,106.31,2987.57,248.96,2656.38,221.36,1606.91,133.91,1986.85,165.57,1352.92,112.74,923.54,76.96,5,0.42,5,0.42
BIGBOOSTERBRAND,Robzo Boost,56,28,50,19991,356.98,52,0.93,15,0.27,66,1.18,162,2.89,342,6.11,111,1.98,45,0.8,32.1,332.75,46.91,110113,1966.3,73078,1304.96,37035,661.34,899,16.05,3183,56.84,27102,483.96,15872,283.43,11230,200.54,188,3.36,960,17.14,2739.56,48.92,2482.52,44.33,11744,209.71,16604,296.5,2749,49.09,1381.28,26761782,477888.97,11226.71,200.48,7629.91,136.25,1647.46,29.42,12998.67,232.12,6909.21,123.38,596.19,10.65,400.26,7.15,0.12,3318,59.25,6109.2,109.09,7656.3,136.72,5822.28,103.97,14681.81,262.18,13111.29,234.13,7392.68,132.01,9772.55,174.51,6105.59,109.03,4626.02,82.61,55,0.98,37,0.66
BIGBOOSTERBRAND,SebasXx9,56,28,50,9971,178.05,20,0.36,20,0.36,34,0.61,62,1.11,342,6.11,111,1.98,27,0.48,32.26,230.3,41.11,75246,1343.68,41175,735.27,34071,608.41,514,9.18,2879,51.41,14964,267.21,7100,126.79,7864,140.43,87,1.55,675,12.05,2814.13,50.25,1136.97,20.3,10948,195.5,9941,177.52,1423,25.41,1302.34,25302964,451838.66,12745.32,227.59,6865.28,122.59,905.3,16.17,14643.51,261.49,5670.82,101.26,201.48,3.6,239.07,4.27,0.15,1590,28.39,6641.9,118.61,6211.1,110.91,5474.15,97.75,15041.73,268.6,14199.21,253.56,6316.71,112.8,10757.49,192.1,6183.78,110.42,3574.61,63.83,19,0.34,39,0.7
GOALSNEXTDOOR,Silly_goose70,59,25,42.37,16137,273.51,36,0.61,22,0.37,49,0.83,102,1.73,331,5.61,128,2.17,50,0.85,35.29,313.5,51.59,103799,1759.31,78371,1328.32,25428,430.98,976,16.54,2278,38.61,16572,280.88,9666,163.83,6906,117.05,122,2.07,624,10.58,1793.5,30.4,3113.66,52.77,12204,206.85,19381,328.49,2658,45.05,1358.7,26129980,442881.03,11423.28,193.61,7340.77,124.42,1586.84,26.9,12779.49,216.6,7189.11,121.85,382.27,6.48,393.97,6.68,0.15,2670,45.25,7142.1,121.05,6370.9,107.98,5463.98,92.61,14886.94,252.32,13833.26,234.46,6517.68,110.47,10746.38,182.14,5724.59,97.03,3879.92,65.76,25,0.42,27,0.46
AERIAL AIRHEADS,Soch10,57,24,42.11,11997,210.47,21,0.37,22,0.39,39,0.68,62,1.09,390,6.84,124,2.18,32,0.56,33.87,198.28,61.17,73072,1281.96,47746,837.65,25326,444.32,637,11.18,2237,39.25,12356,216.77,6770,118.77,5586,98,96,1.68,480,8.42,805.3,14.13,3862.69,67.77,4963,87.07,17092,299.86,2784,48.84,1222.58,23738740,416469.12,13772.82,241.63,5919.77,103.86,869.75,15.26,13767.11,241.53,6481.7,113.71,313.46,5.5,417.7,7.33,0.29,1460,25.61,6881.4,120.73,6975.3,122.37,5622.73,98.64,14939.55,262.1,14977.78,262.77,5584.42,97.97,11880.89,208.44,5608.24,98.39,3073.22,53.92,13,0.23,24,0.42
