team name,player name,games,wins,win percentage,score,score per game,goals,goals per game,assists,assists per game,saves,saves per game,shots,shots per game,shots conceded,shots conceded per game,goals conceded,goals conceded per game,goals conceded while last defender,goals conceded while last defender per game,shooting percentage,bpm per game,avg boost amount per game,amount collected,amount collected per game,amount collected big pads,amount collected big pads per game,amount collected small pads,amount collected small pads per game,count collected big pads,count collected big pads per game,count collected small pads,count collected small pads per game,amount stolen,amount stolen per game,amount stolen big pads,amount stolen big pads per game,amount stolen small pads,amount stolen small pads per game,count stolen big pads,count stolen big pads per game,count stolen small pads,count stolen small pads per game,0 boost time,0 boost time per game,100 boost time,100 boost time per game,amount used while supersonic,amount used while supersonic per game,amount overfill total,amount overfill total per game,amount overfill stolen,amount overfill stolen per game,avg speed per game,total distance,total distance per game,time slow speed,time slow speed per game,time boost speed,time boost speed per game,time supersonic speed,time supersonic speed per game,time on ground,time on ground per game,time low in air,time low in air per game,time high in air,time high in air per game,time powerslide,time powerslide per game,avg powerslide time per game,count powerslide,count powerslide per game,time most back,time most back per game,time most forward,time most forward per game,time in front of ball,time in front of ball per game,time behind ball,time behind ball per game,time defensive half,time defensive half per game,time offensive half,time offensive half per game,time defensive third,time defensive third per game,time neutral third,time neutral third per game,time offensive third,time offensive third per game,demos inflicted,demos inflicted per game,demos taken,demos taken per game
CROSSBAR KINGS,Geko,48,32,66.67,21787,453.9,55,1.15,23,0.48,86,1.79,170,3.54,262,5.46,83,1.73,20,0.42,32.35,414.74,52.53,120176,2503.67,90197,1879.1,29979,624.56,1125,23.44,2700,56.25,32161,670.02,21715,452.4,10446,217.62,270,5.62,965,20.1,1868.33,38.92,1845.25,38.44,19902,414.62,22829,475.6,5414,112.79,1522.14,25271446,526488.44,7987.65,166.41,7079.52,147.49,2483.89,51.75,11373.65,236.95,5716.3,119.09,461.15,9.61,421.99,8.79,0.11,3835,79.9,5244,109.25,6646.6,138.47,4759.96,99.17,12791.12,266.48,10708.89,223.1,6842.14,142.54,8134.16,169.46,4948.79,103.1,4468.19,93.09,128,2.67,31,0.65
CROSSBAR KINGS,Illenial,48,32,66.67,19292,401.92,58,1.21,26,0.54,48,1,142,2.96,262,5.46,83,1.73,22,0.46,40.85,339.62,50.98,99257,2067.85,67968,1416,31289,651.85,880,18.33,2775,57.81,19756,411.58,11167,232.65,8589,178.94,143,2.98,754,15.71,1560.36,32.51,1779.33,37.07,14278,297.46,20462,426.29,3235,67.4,1472.96,24434684,509055.91,8258.66,172.06,7565.88,157.62,1738.7,36.22,10458.99,217.9,6781.37,141.28,322.95,6.73,337.07,7.02,0.1,3257,67.85,5870.1,122.29,5534.2,115.3,3992.91,83.19,13570.34,282.72,11397.5,237.45,6165.79,128.45,8464.84,176.35,5500.16,114.59,3598.33,74.97,46,0.96,27,0.56
CROSSBAR KINGS,dirty_wizard69,48,32,66.67,4599,95.81,8,0.17,17,0.35,6,0.12,29,0.6,262,5.46,83,1.73,41,0.85,27.59,163.37,51.28,48222,1004.62,21873,455.69,26349,548.94,305,6.35,2237,46.6,10304,214.67,3428,71.42,6876,143.25,50,1.04,590,12.29,1017.65,21.2,2291.19,47.73,7862,163.79,9038,188.29,1509,31.44,1308.92,21652014,451083.62,11611.82,241.91,5182.95,107.98,786.07,16.38,13150.82,273.98,4266.89,88.89,163.17,3.4,196.31,4.09,0.26,741,15.44,6125.5,127.61,4881.4,101.7,4480.56,93.35,13100.3,272.92,11746.84,244.73,5833.98,121.54,8698.8,181.22,5578.11,116.21,3303.96,68.83,33,0.69,20,0.42
GOALDEN SHOWERS,The Plump Kitty,53,34,64.15,7048,132.98,14,0.26,19,0.36,21,0.4,40,0.75,283,5.34,91,1.72,31,0.58,35,246.83,42.88,78692,1484.75,45040,849.81,33652,634.94,593,11.19,2874,54.23,13036,245.96,5963,112.51,7073,133.45,73,1.38,600,11.32,2161.23,40.78,1367.87,25.81,15415,290.85,13905,262.36,1232,23.25,1271.8,23129660,436408.69,11972.32,225.89,6158.95,116.21,1282.63,24.2,14630.36,276.04,4587.49,86.56,196.03,3.7,361.36,6.82,0.27,1339,25.26,8596.7,162.2,4798.1,90.53,4308.53,81.29,15105.31,285.01,14427.17,272.21,4986.62,94.09,11522.42,217.4,5123.88,96.68,2767.57,52.22,20,0.38,14,0.26
GOALDEN SHOWERS,airfark,53,34,64.15,14849,280.17,38,0.72,21,0.4,60,1.13,99,1.87,283,5.34,91,1.72,34,0.64,38.38,232.04,45.24,74256,1401.06,34752,655.7,39504,745.36,467,8.81,3350,63.21,18839,355.45,8702,164.19,10137,191.26,110,2.08,855,16.13,1775.29,33.5,1300.83,24.54,5148,97.13,11811,222.85,2294,43.28,1233.8,22539610,425275.66,13000.34,245.29,5604.43,105.74,840.23,15.85,14710.07,277.55,4523.73,85.35,211.18,3.98,528.21,9.97,0.27,2003,37.79,5873.6,110.82,6113.6,115.35,4828.44,91.1,14616.53,275.78,13022.57,245.71,6422.38,121.18,9888.9,186.58,5765.94,108.79,3790.05,71.51,20,0.38,20,0.38
GOALDEN SHOWERS,ttv/kevinpeta6,53,34,64.15,29103,549.11,97,1.83,32,0.6,61,1.15,255,4.81,283,5.34,91,1.72,26,0.49,38.04,409.87,51.35,129900,2450.94,102745,1938.58,27155,512.36,1290,24.34,2370,44.72,29890,563.96,20928,394.87,8962,169.09,261,4.92,786,14.83,2134.41,40.27,2387.82,45.05,8930,168.49,24663,465.34,4921,92.85,1445.01,26418064,498454.03,9851.27,185.87,7521.68,141.92,2027.9,38.26,10896.08,205.59,7863.45,148.37,641.38,12.1,457.96,8.64,0.15,3008,56.75,4628.5,87.33,7704.4,145.37,4739.99,89.43,14660.86,276.62,11846.86,223.53,7553.87,142.53,8928.03,168.45,5770.45,108.88,4702.41,88.72,41,0.77,43,0.81
GOALSNEXTDOOR,LEFTnip420,38,17,44.74,3898,102.58,6,0.16,6,0.16,13,0.34,26,0.68,210,5.53,69,1.82,21,0.55,23.08,125.61,49.09,28188,741.79,9906,260.68,18282,481.11,156,4.11,1574,41.42,4930,129.74,929,24.45,4001,105.29,17,0.45,350,9.21,770.47,20.28,2127.25,55.98,4656,122.53,6243,164.29,888,23.37,1178.57,14752139,388214.19,10294.35,270.9,2605.45,68.56,300.13,7.9,10258.59,269.96,2756.45,72.54,184.88,4.87,249.26,6.56,0.32,774,20.37,5023.1,132.19,3716.9,97.81,3576.61,94.12,9623.3,253.24,9545.06,251.19,3654.81,96.18,7010.81,184.5,4280.85,112.65,1908.24,50.22,8,0.21,22,0.58
GOALSNEXTDOOR,Rob Herbo,38,17,44.74,16298,428.89,38,1,12,0.32,57,1.5,132,3.47,210,5.53,69,1.82,21,0.55,28.79,379.63,57.94,81964,2156.95,64318,1692.58,17646,464.37,787,20.71,1573,41.39,19796,520.95,14098,371,5698,149.95,173,4.55,511,13.45,982.54,25.86,1308.78,34.44,8248,217.05,14496,381.47,3137,82.55,1448.98,18162068,477949.16,6651.89,175.05,5349.83,140.78,1176.32,30.96,7983.62,210.1,4665.92,122.79,528.47,13.91,186.93,4.92,0.11,1765,46.45,3349.2,88.14,5108.8,134.44,3864.72,101.7,9313.33,245.09,8360.29,220.01,4817.8,126.78,6180.87,162.65,4088.4,107.59,2908.79,76.55,8,0.21,24,0.63
GOALSNEXTDOOR,Silly_goose70,38,17,44.74,9128,240.21,15,0.39,13,0.34,29,0.76,54,1.42,210,5.53,69,1.82,27,0.71,27.78,304.38,50.84,65505,1723.82,48289,1270.76,17216,453.05,605,15.92,1527,40.18,9998,263.11,5423,142.71,4575,120.39,71,1.87,411,10.82,1158.28,30.48,2024.22,53.27,8222,216.37,12159,319.97,1736,45.68,1351.91,16974328,446692.84,7459.03,196.29,4691.64,123.46,1058.33,27.85,8434.35,221.96,4559.08,119.98,215.53,5.67,256.44,6.75,0.15,1738,45.74,4729.2,124.45,4104.1,108,3521.1,92.66,9687.88,254.94,9094.26,239.32,4114.74,108.28,7098.11,186.79,3712.69,97.7,2398.16,63.11,18,0.47,18,0.47
LITTY KITTIES,Abbyyyyyyy,25,12,48,1554,62.16,1,0.04,2,0.08,14,0.56,2,0.08,187,7.48,61,2.44,17,0.68,50,118.74,62.92,21394,855.76,8816,352.64,12578,503.12,146,5.84,1167,46.68,2379,95.16,606,24.24,1773,70.92,10,0.4,165,6.6,295.74,11.83,1787.8,71.51,2777,111.08,6847,273.88,531,21.24,1066.66,9301661,372066.44,7326.42,293.06,1860.17,74.41,196.4,7.86,7677.78,307.11,1657.39,66.3,47.87,1.91,236.42,9.46,0.29,1007,40.28,5018.4,200.74,1791,71.64,1804.73,72.19,7578.27,303.13,7911.23,316.45,1471.76,58.87,6751.95,270.08,1915.76,76.63,715.29,28.61,4,0.16,10,0.4
