team name,player name,games,wins,win percentage,score,score per game,goals,goals per game,assists,assists per game,saves,saves per game,shots,shots per game,shots conceded,shots conceded per game,goals conceded,goals conceded per game,goals conceded while last defender,goals conceded while last defender per game,shooting percentage,bpm per game,avg boost amount per game,amount collected,amount collected per game,amount collected big pads,amount collected big pads per game,amount collected small pads,amount collected small pads per game,count collected big pads,count collected big pads per game,count collected small pads,count collected small pads per game,amount stolen,amount stolen per game,amount stolen big pads,amount stolen big pads per game,amount stolen small pads,amount stolen small pads per game,count stolen big pads,count stolen big pads per game,count stolen small pads,count stolen small pads per game,0 boost time,0 boost time per game,100 boost time,100 boost time per game,amount used while supersonic,amount used while supersonic per game,amount overfill total,amount overfill total per game,amount overfill stolen,amount overfill stolen per game,avg speed per game,total distance,total distance per game,time slow speed,time slow speed per game,time boost speed,time boost speed per game,time supersonic speed,time supersonic speed per game,time on ground,time on ground per game,time low in air,time low in air per game,time high in air,time high in air per game,time powerslide,time powerslide per game,avg powerslide time per game,count powerslide,count powerslide per game,time most back,time most back per game,time most forward,time most forward per game,time in front of ball,time in front of ball per game,time behind ball,time behind ball per game,time defensive half,time defensive half per game,time offensive half,time offensive half per game,time defensive third,time defensive third per game,time neutral third,time neutral third per game,time offensive third,time offensive third per game,demos inflicted,demos inflicted per game,demos taken,demos taken per game
CROSSBAR KINGS,Illenial,19,15,78.95,7074,372.32,20,1.05,13,0.68,13,0.68,49,2.58,104,5.47,32,1.68,10,0.53,40.82,313.59,49.82,36774,1935.47,24201,1273.74,12573,661.74,313,16.47,1112,58.53,6974,367.05,4233,222.79,2741,144.26,54,2.84,242,12.74,665.42,35.02,686.56,36.13,4860,255.79,7368,387.79,1179,62.05,1424.94,9430728,496354.09,3576.97,188.26,2869.75,151.04,576.4,30.34,4295.6,226.08,2610.5,137.39,117.02,6.16,127.85,6.73,0.11,1174,61.79,2562.6,134.87,2111.2,111.12,1589.86,83.68,5433.23,285.96,4745.67,249.77,2277.43,119.86,3531.08,185.85,2205.4,116.07,1286.63,67.72,12,0.63,13,0.68
CROSSBAR KINGS,dirty_wizard69,19,15,78.95,1935,101.84,4,0.21,9,0.47,3,0.16,11,0.58,104,5.47,32,1.68,16,0.84,36.36,153.93,51.49,18491,973.21,8972,472.21,9519,501,122,6.42,815,42.89,3990,210,1458,76.74,2532,133.26,20,1.05,217,11.42,374.95,19.73,1027.29,54.07,3154,166,3428,180.42,512,26.95,1290.87,8515501,448184.25,4826.89,254.05,1939.61,102.08,269.25,14.17,5395.03,283.95,1558.31,82.02,82.43,4.34,92.62,4.87,0.27,344,18.11,2324.9,122.36,1941.2,102.17,1842.91,97,5192.84,273.31,4705.7,247.67,2330.01,122.63,3565.58,187.66,2144.92,112.89,1325.25,69.75,10,0.53,7,0.37
GOALDEN SHOWERS,The Plump Kitty,26,15,57.69,3397,130.65,7,0.27,8,0.31,11,0.42,15,0.58,141,5.42,47,1.81,16,0.62,46.67,275.91,41.3,41734,1605.15,24674,949,17060,656.15,323,12.42,1463,56.27,6439,247.65,2817,108.35,3622,139.31,35,1.35,311,11.96,1136.63,43.72,638.68,24.56,8027,308.73,7432,285.85,675,25.96,1295.53,11381835,437762.88,5555.26,213.66,3118.64,119.95,683.52,26.29,6987.13,268.74,2250.52,86.56,119.77,4.61,154.15,5.93,0.23,668,25.69,4140.9,159.27,2236.1,86,2102.71,80.87,7254.68,279.03,6862.39,263.94,2494.91,95.96,5378.42,206.86,2617.95,100.69,1360.99,52.35,10,0.38,6,0.23
GOALDEN SHOWERS,airfark,26,15,57.69,7288,280.31,17,0.65,11,0.42,37,1.42,44,1.69,141,5.42,47,1.81,20,0.77,38.64,228.46,45.14,34958,1344.54,15881,610.81,19077,733.73,220,8.46,1618,62.23,9139,351.5,4068,156.46,5071,195.04,51,1.96,428,16.46,848.96,32.65,675.53,25.98,1706,65.62,6374,245.15,1067,41.04,1236.94,10942598,420869.16,6263.58,240.91,2736.55,105.25,393.5,15.13,7017.8,269.92,2249.54,86.52,126.27,4.86,279.98,10.77,0.28,1003,38.58,2912.6,112.02,2876.4,110.63,2305.13,88.66,7088.48,272.63,6296.83,242.19,3096.76,119.11,4741.54,182.37,2855.56,109.83,1796.47,69.09,5,0.19,4,0.15
GOALDEN SHOWERS,ttv/kevinpeta6,26,15,57.69,12966,498.69,39,1.5,14,0.54,25,0.96,115,4.42,141,5.42,47,1.81,11,0.42,33.91,406.24,52.45,62390,2399.62,49922,1920.08,12468,479.54,636,24.46,1089,41.88,15342,590.08,10837,416.81,4505,173.27,141,5.42,389,14.96,1075.22,41.35,1200.24,46.16,5193,199.73,13441,516.96,3199,123.04,1459.83,12897072,496041.22,4665.89,179.46,3654.43,140.56,1035.6,39.83,5209.36,200.36,3828.74,147.26,317.86,12.23,223.33,8.59,0.16,1423,54.73,2168.1,83.39,3755.9,144.46,2385.48,91.75,6970.44,268.09,5590.74,215.03,3765.08,144.81,4165.43,160.21,2821.45,108.52,2369.07,91.12,21,0.81,21,0.81
GOALSNEXTDOOR,LEFTnip420,18,8,44.44,1932,107.33,3,0.17,4,0.22,5,0.28,12,0.67,96,5.33,34,1.89,12,0.67,25,123.55,47.15,12756,708.67,4399,244.39,8357,464.28,67,3.72,719,39.94,1822,101.22,241,13.39,1581,87.83,3,0.17,138,7.67,435.51,24.19,898.79,49.93,1425,79.17,2536,140.89,97,5.39,1112.45,6541469,363414.94,4993.73,277.43,1109.59,61.64,123.8,6.88,4869.36,270.52,1285.79,71.43,71.95,4,148.73,8.26,0.35,422,23.44,2546.2,141.46,1638.8,91.04,1651.58,91.75,4575.54,254.2,4659.45,258.86,1567.67,87.09,3430.34,190.57,2019.96,112.22,776.82,43.16,4,0.22,10,0.56
GOALSNEXTDOOR,Rob Herbo,18,8,44.44,8125,451.39,21,1.17,4,0.22,29,1.61,71,3.94,96,5.33,34,1.89,13,0.72,29.58,392.58,57.77,40222,2234.56,31796,1766.44,8426,468.11,389,21.61,740,41.11,9811,545.06,7067,392.61,2744,152.44,84,4.67,244,13.56,492.24,27.35,616.87,34.27,3801,211.17,7184,399.11,1351,75.06,1448.35,8561562,475642.34,3101.14,172.29,2580.15,143.34,544.31,30.24,3812.94,211.83,2171.01,120.61,241.65,13.42,89.79,4.99,0.11,853,47.39,1504.2,83.57,2434.6,135.26,1848.63,102.7,4376.99,243.17,3948.92,219.38,2276.73,126.49,2906.1,161.45,1933.52,107.42,1386.01,77,4,0.22,7,0.39
GOALSNEXTDOOR,Silly_goose70,18,8,44.44,4229,234.94,6,0.33,8,0.44,14,0.78,27,1.5,96,5.33,34,1.89,9,0.5,22.22,283.72,51.46,28388,1577.11,20374,1131.89,8014,445.22,252,14,716,39.78,4894,271.89,2772,154,2122,117.89,37,2.06,190,10.56,481.3,26.74,944.36,52.46,3577,198.72,4807,267.06,957,53.17,1330.12,7859328,436629.34,3643.15,202.4,2136.81,118.71,446.93,24.83,4064.39,225.8,2080.79,115.6,81.73,4.54,130.21,7.23,0.16,812,45.11,2128.6,118.26,2011.8,111.77,1713.63,95.2,4513.28,250.74,4286.36,238.13,1940.56,107.81,3346.52,185.92,1758.78,97.71,1121.6,62.31,8,0.44,10,0.56
LITTY KITTIES,Abbyyyyyyy,12,4,33.33,515,42.92,0,0,1,0.08,4,0.33,1,0.08,98,8.17,34,2.83,10,0.83,0,129.61,60.57,11304,942,5158,429.83,6146,512.17,81,6.75,570,47.5,1382,115.17,349,29.08,1033,86.08,5,0.42,96,8,202.51,16.88,847.42,70.62,1660,138.33,3349,279.08,227,18.92,1092.74,4643019,386918.25,3524.82,293.74,948.8,79.07,115.85,9.65,3729.27,310.77,828.44,69.04,31.8,2.65,136.8,11.4,0.41,327,27.25,2328.6,194.05,930.6,77.55,986.01,82.17,3603.47,300.29,3839.84,319.99,749.65,62.47,3297.05,274.75,922.43,76.87,370.02,30.84,3,0.25,4,0.33
LITTY KITTIES,Ty,12,4,33.33,6523,543.58,15,1.25,3,0.25,26,2.17,49,4.08,98,8.17,34,2.83,11,0.92,30.61,400.11,49.46,29290,2440.83,23678,1973.17,5612,467.67,292,24.33,484,40.33,4968,414,3454,287.83,1514,126.17,46,3.83,130,10.83,513.78,42.82,762.66,63.56,4116,343,5271,439.25,1064,88.67,1452.21,6270106,522508.84,2345.98,195.5,1633.41,136.12,591.42,49.29,2684.98,223.75,1700.13,141.68,185.74,15.48,112.79,9.4,0.13,849,70.75,1176.2,98.02,1864,155.33,1138,94.83,3432.81,286.07,3170.35,264.2,1400.47,116.71,2533.1,211.09,1200.14,100.01,837.58,69.8,11,0.92,13,1.08
LITTY KITTIES,bakingsoda,12,4,33.33,3168,264,7,0.58,2,0.17,15,1.25,21,1.75,98,8.17,34,2.83,13,1.08,33.33,202.25,52.23,16714,1392.83,9268,772.33,7446,620.5,121,10.08,652,54.33,3425,285.42,1542,128.5,1883,156.92,21,1.75,164,13.67,323.24,26.94,609.05,50.75,1765,147.08,3026,252.17,600,50,1279.85,5498335,458194.59,3006.31,250.53,1349.64,112.47,212.56,17.71,3172.54,264.38,1345.75,112.15,50.21,4.18,79.34,6.61,0.17,491,40.92,1069.7,89.14,1649.7,137.47,1178,98.17,3390.5,282.54,3318.13,276.51,1250.39,104.2,2548.48,212.37,1376.12,114.68,643.92,53.66,4,0.33,11,0.92
MOTION W LOTION,Icy_killa420,3,3,100,1519,506.33,6,2,1,0.33,1,0.33,16,5.33,9,3,4,1.33,3,1,37.5,386.2,49.11,7625,2541.67,5504,1834.67,2121,707,69,23,170,56.67,1056,352,588,196,468,156,7,2.33,41,13.67,144.21,48.07,126.17,42.06,1607,535.67,1348,449.33,110,36.67,1506.32,1706152,568717.31,541.87,180.62,502.87,167.62,151.34,50.45,775.16,258.39,395.91,131.97,25.02,8.34,20.24,6.75,0.17,122,40.67,428.3,142.77,398.8,132.93,270.56,90.19,925.54,308.51,828.1,276.03,368.01,122.67,662.47,220.82,319.41,106.47,214.21,71.4,5,1.67,3,1
MOTION W LOTION,Icy_killa420,14,6,42.86,5903,421.64,13,0.93,4,0.29,27,1.93,42,3,90,6.43,33,2.36,10,0.71,30.95,387.73,50.34,32633,2330.93,25730,1837.86,6903,493.07,312,22.29,597,42.64,4119,294.21,2364,168.86,1755,125.36,29,2.07,148,10.57,677.88,48.42,567.45,40.53,6287,449.07,5660,404.29,550,39.29,1482.08,7203132,514509.44,2406.02,171.86,2131.26,152.23,597.49,42.68,3520.74,251.48,1558.31,111.31,55.75,3.98,87.98,6.28,0.15,586,41.86,1935.8,138.27,1611.5,115.11,1182.47,84.46,3952.29,282.31,3722.13,265.87,1412.56,100.9,2945.2,210.37,1386.52,99.04,803.04,57.36,2,0.14,8,0.57
